Id,SalePrice
833,234630.6839898969
966,172603.6479745526
970,154854.73247570265
1412,155080.89599710447
285,177485.25300163636
1432,136737.61788324174
983,191786.1449124678
820,223406.26772211143
1404,263999.2275487082
773,133947.6779277334
850,175206.410062236
620,287922.2968720454
81,210535.47155301622
293,127067.76131228544
986,147919.80956885172
975,189835.4639650723
712,113881.95579989813
675,145916.55844202428
589,236587.52292614826
1002,101114.30536559597
453,208711.24304178637
658,191298.84192369995
562,172075.57748279418
83,233316.73461582093
1242,258678.20938243694
612,129781.04203925189
989,174728.1308388675
470,157091.58027556445
303,217579.54718939262
879,150016.81371716713
1370,234566.45556563023
834,173862.03022030368
766,270218.2646593407
1224,164840.34908406856
1210,305218.5704774936
847,196546.13802981214
400,205842.15659034182
1381,45861.370022855
1287,148822.25760636968
53,74624.86879588594
34,178211.56345505128
555,274700.2070125032
1034,237576.0553352472
1111,180282.89106753445
380,178150.50844662334
258,232025.38771663303
55,103820.96503023943
945,169735.75532806804
342,76662.26257578889
263,143494.91018168954
593,142465.52664432628
298,265179.36151786195
877,156652.63596433168
1416,212317.65992217488
1344,181076.65053972276
1013,161142.89407651988
112,176979.81826693122
327,294638.51679089456
868,128906.041810669
245,229137.1102899625
230,191903.43404812017
626,156068.7041436585
839,149285.20617610123
404,277644.64028387726
1200,137472.62185876607
67,251874.60846978333
542,264430.1257258053
318,247587.28019097494
1148,185649.5481265604
967,147498.07591586048
47,284793.22822409635
431,86026.8001747469
1398,140252.43139532744
1251,281646.46043335646
265,24045.04429538548
1073,90177.66225755564
991,317868.9834330466
488,184554.7368006385
332,120669.11135959742
1363,85441.15074869944
411,89373.9975871013
1441,233324.1220129521
182,164942.94550312962
266,182434.21641631448
1147,189997.143150785
280,208331.17387153977
732,201581.39460532763
923,179641.66194952256
778,126372.70806533447
789,108641.19487730227
504,290384.488507414
726,105746.38865708304
889,275490.7859453105
823,207166.04154573288
1223,172847.12980698515
1429,118104.4788206073
964,292710.9192403341
674,263626.3761330084
1434,198598.8183415325
911,171717.92453358904
1043,197130.0742915566
69,63786.80985632003
654,151667.87761787046
742,138327.7008784276
944,109271.05387394875
776,160276.36698703608
205,124193.35119876056
863,159677.62588707032
1325,305659.1686166213
62,108689.00928195054
471,236265.9862366349
1018,226185.8721732567
1303,316134.8222953414
25,146577.67303242278
402,199654.42577000102
232,363920.0781059789
127,121193.56530568493
1281,213160.26908287453
46,314821.3633279281
959,187704.3123472943
657,126080.01559436182
843,177915.66272047814
445,208190.87129095965
273,320489.03956687055
905,118396.21152637224
339,187835.04509004764
455,143775.77496502618
1152,153290.1981215973
716,139971.0781177904
395,105831.14777743188
602,123944.85084848641
848,139608.0895034133
1232,124268.22163351672
86,285791.1278246809
218,78229.21363619855
1320,89854.97668720572
388,146630.40955502167
503,157003.17415946955
689,288706.9070043259
924,175236.51446421002
1094,172229.98154299497
572,108836.23921335349
1068,203198.65066760266
659,133713.49180415925
214,155271.3509084531
677,44688.21739458782
1418,332207.921830402
624,181781.61889047315
1373,265013.5390853125
398,148351.30030294624
1227,231845.6271567524
952,128975.34070168342
851,128981.02295630588
1366,216200.8906283183
619,351259.5507935579
1082,113523.6962015545
976,164535.4767238656
670,130092.19094914454
678,105278.87838609074
462,128368.13430350926
60,129622.45862518647
1419,123888.10087055154
437,106272.54636733374
1216,109404.5427992139
1194,166146.60750280647
1343,235225.516921737
195,128096.15508297388
94,181518.2806291557
136,178282.26799184806
1293,129524.68934234092
682,68912.75596711133
1019,147206.2050087743
1167,235605.8444297961
1444,114599.20708212117
1286,156505.73670417094
326,81772.91010355717
325,267365.181413607
585,144999.56191457924
142,249239.5406774385
384,74895.53059248277
270,148758.63863176946
469,245772.11092011956
649,156783.6525100614
244,112758.31868003798
858,153449.13626417867
194,131124.9547523493
320,189891.30920630344
386,180425.98386355606
1120,121210.4179109286
1155,227304.98052371293
888,145774.97189730708
468,146517.43628901453
862,117000.9824355673
31,96256.39538834034
1442,137000.3253630295
665,385306.08730817377
696,163605.1973298411
1173,157349.76328138704
33,212469.0943841436
385,245603.06467602984
1245,193579.04416003125
362,146674.78951310483
866,147719.1237633396
1137,122649.41112719779
287,170697.1838449631
74,135099.47052581888
812,178198.20278196805
1359,176201.9241014116
1070,123539.2289696706
1422,138548.75920648663
603,228688.1191732448
723,110360.6173931132
315,163939.75618054555
1392,99304.59895389108
1336,163238.70714124455
1129,213079.83958353056
642,236337.69892729446
256,232557.274096441
52,110261.65426022396
1005,189393.58610117738
124,138976.5359702562
174,150169.00128769246
722,132031.3993652796
727,257901.7806210406
1313,365754.96452997904
1179,128958.98444663221
1436,177170.45029371302
635,117951.4355719171
1447,167736.82031831355
378,264423.1455877435
520,249608.96942244796
220,184846.80578491348
1276,67169.83399302536
1423,137110.45017021033
1240,229929.00047185086
988,403438.06615530374
118,153649.16836643126
1257,335567.13824598887
1443,362659.32644697046
1199,172710.98017274495
1175,248267.95969242556
807,111705.66446481319
1389,363165.7842695555
241,251457.04588114354
506,121604.49687922839
1352,176249.36105545843
336,241604.81379064173
1185,174648.64226426533
479,301690.4106375398
450,106622.85418898729
929,250339.64774442604
269,126469.60087886639
1142,172172.19740913296
408,175437.84299624665
188,131459.0811753138
932,129882.89061890147
782,164625.48195406352
1388,191204.16748386994
984,248354.64278479246
774,95655.35627164342
58,186811.55336313485
407,107846.68204039475
809,142843.8769688739
120,177097.16923391423
629,164525.37779367552
586,343063.67212112853
594,135637.65503473883
919,266909.190142479
